page	date	value
Machines	2017-04-01	0.50
Machines	2017-05-01	0.50
Machines	2017-06-01	0.52
Machines	2017-07-01	0.52
Machines	2017-08-01	0.53
Machines	2017-09-01	0.53
Machines	2017-10-01	0.53
Machines	2017-11-01	0.54
Machines	2017-12-01	0.55
Machines	2018-01-01	0.55
Machines	2018-02-01	0.55
Machines	2018-03-01	0.55
Devices	2017-04-01	0.57
Devices	2017-05-01	0.58
Devices	2017-06-01	0.60
Devices	2017-07-01	0.60
Devices	2017-08-01	0.60
Devices	2017-09-01	0.60
Devices	2017-10-01	0.62
Devices	2017-11-01	0.62
Devices	2017-12-01	0.62
Devices	2018-01-01	0.62
Devices	2018-02-01	0.62
Devices	2018-03-01	0.62
Controllers	2017-04-01	0.55
Controllers	2017-05-01	0.55
Controllers	2017-06-01	0.55
Controllers	2017-07-01	0.55
Controllers	2017-08-01	0.55
Controllers	2017-09-01	0.55
Controllers	2017-10-01	0.53
Controllers	2017-11-01	0.53
Controllers	2017-12-01	0.57
Controllers	2018-01-01	0.57
Controllers	2018-02-01	0.57
Controllers	2018-03-01	0.57
